timestamp,open,high,low,close,volume
2024-04-25 19:00:00,64498.33,64820.01,63297.48,63770.01,27085.19346
2024-04-26 19:00:00,63770.0,63923.41,62391.24,63461.98,20933.06052
2024-04-27 19:00:00,63461.98,64370.0,62781.0,63118.62,16949.20005
2024-04-28 19:00:00,63118.62,64228.35,61765.53,63866.0,28150.22947
2024-04-29 19:00:00,63866.0,64734.0,59191.6,60672.0,54947.65535
2024-04-30 19:00:00,60672.01,60841.63,56552.82,58364.97,81166.46823
2024-05-01 19:00:00,58364.97,59625.0,56911.84,59060.61,47583.81961
2024-05-02 19:00:00,59060.6,63333.0,58811.32,62882.01,43628.40143
2024-05-03 19:00:00,62882.01,64540.0,62541.03,63892.04,24368.69282
2024-05-04 19:00:00,63892.03,64646.0,62822.17,64012.0,18526.75029
2024-05-05 19:00:00,64012.0,65500.0,62700.0,63165.19,34674.91949
2024-05-06 19:00:00,63165.18,64422.41,62261.0,62312.08,25598.79472
2024-05-07 19:00:00,62312.07,63020.22,60888.0,61193.03,26121.19004
2024-05-08 19:00:00,61193.03,63429.03,60630.0,63074.01,30660.8061
2024-05-09 19:00:00,63074.0,63469.13,60187.12,60799.99,36529.34025
2024-05-10 19:00:00,60799.99,61515.0,60487.09,60825.99,13374.56936
2024-05-11 19:00:00,60825.99,61888.0,60610.0,61483.99,12753.13236
2024-05-12 19:00:00,61484.0,63450.0,60749.21,62940.08,32733.41839
2024-05-13 19:00:00,62940.09,63118.36,61142.77,61577.49,29088.72041
2024-05-14 19:00:00,61577.49,66444.16,61319.47,66206.5,43559.74719
2024-05-15 19:00:00,66206.51,66752.01,64602.77,65235.21,31106.3671
2024-05-16 19:00:00,65235.21,67451.2,65106.38,67024.0,26292.23409
2024-05-17 19:00:00,67024.0,67400.01,66600.0,66915.2,14441.25774
2024-05-18 19:00:00,66915.2,67700.0,65857.25,66274.01,18025.30409
2024-05-19 19:00:00,66274.0,71515.56,66060.31,71446.62,50816.7011
2024-05-20 19:00:00,71446.62,71979.0,69162.94,70148.34,49607.4336
2024-05-21 19:00:00,70148.34,70666.0,68842.19,69166.62,27673.18026
2024-05-22 19:00:00,69166.62,70096.12,66312.16,67969.65,40513.17374
2024-05-23 19:00:00,67969.66,69250.0,66600.12,68549.99,28095.83664
2024-05-24 19:00:00,68549.99,69610.0,68500.0,69290.57,12130.39418
2024-05-25 19:00:00,69290.56,69562.23,68128.01,68507.67,11872.11797
2024-05-26 19:00:00,68507.67,70687.56,68250.0,69436.43,23136.92737
2024-05-27 19:00:00,69436.43,69591.81,67277.91,68398.39,32622.97042
2024-05-28 19:00:00,68398.4,68935.68,67124.65,67652.42,23159.83149
2024-05-29 19:00:00,67652.41,69500.0,67128.0,68352.17,28478.2184
