date,open,high,low,close,volume,average,barCount
2024-04-29,6.726,6.826,6.47,6.587,3658934.18,6.6522499999999996,90
2024-04-30,6.588,6.669,6.04,6.425,7667235.19,6.4305,90
2024-05-01,6.423,6.935,6.129,6.899,9928379.44,6.596500000000001,90
2024-05-02,6.9,7.409,6.694,7.273,5866303.67,7.069,90
2024-05-03,7.272,7.386,7.002,7.245,6917886.48,7.22625,90
2024-05-04,7.244,7.28,7.105,7.122,3557671.87,7.18775,90
2024-05-05,7.122,7.4,7.014,7.302,4163778.64,7.2095,90
2024-05-06,7.303,7.473,7.06,7.121,4753151.15,7.23925,90
2024-05-07,7.119,7.295,6.979,6.993,3682848.45,7.096500000000001,90
2024-05-08,6.992,7.189,6.893,6.983,3774626.84,7.0142500000000005,90
2024-05-09,6.982,7.089,6.782,7.05,3379414.81,6.975750000000001,90
2024-05-10,7.049,7.149,6.69,6.746,4044018.42,6.9085,90
2024-05-11,6.745,6.809,6.635,6.659,2377967.87,6.712,90
2024-05-12,6.659,6.793,6.586,6.617,1576234.91,6.66375,90
2024-05-13,6.616,6.826,6.431,6.669,3606786.8,6.6355,90
2024-05-14,6.671,6.698,6.469,6.485,2744202.98,6.58075,90
2024-05-15,6.485,7.029,6.461,6.961,4442558.01,6.734,90
2024-05-16,6.961,7.066,6.812,7.025,3415709.35,6.966000000000001,90
2024-05-17,7.025,7.299,6.999,7.199,4256397.78,7.1305,90
2024-05-18,7.198,7.232,7.063,7.157,1889934.65,7.1625,90
2024-05-19,7.157,7.18,6.889,6.931,1874582.61,7.03925,90
2024-05-20,6.93,7.584,6.851,7.575,4828245.07,7.234999999999999,90
2024-05-21,7.574,7.671,7.428,7.61,4957810.67,7.57075,90
2024-05-22,7.609,7.701,7.38,7.467,4310060.98,7.539249999999999,90
2024-05-23,7.466,7.604,6.895,7.2,8045710.66,7.29125,90
2024-05-24,7.199,7.386,7.017,7.244,3827983.04,7.2115,90
2024-05-25,7.244,7.438,7.22,7.425,2016462.27,7.3317499999999995,90
2024-05-26,7.426,7.64,7.367,7.557,2927564.39,7.4975000000000005,90
2024-05-27,7.556,7.775,7.38,7.64,3611626.96,7.58775,90
2024-05-28,7.64,7.667,7.277,7.37,4935005.61,7.4885,90
2024-05-29,7.371,7.562,7.145,7.178,4221424.57,7.314,90
2024-05-30,7.178,7.243,6.923,6.998,4211075.5,7.085500000000001,90
2024-05-31,6.997,7.054,6.803,6.984,2478066.66,6.9595,90
2024-06-01,6.984,7.135,6.959,7.062,1506527.64,7.035,90
2024-06-02,7.061,7.125,6.917,6.988,1812466.32,7.02275,90
2024-06-03,6.989,7.191,6.932,7.009,3867604.77,7.0302500000000006,90
2024-06-04,7.009,7.236,6.941,7.177,2889356.19,7.09075,90
2024-06-05,7.178,7.298,7.148,7.251,2836358.18,7.21875,90
2024-06-06,7.25,7.288,7.056,7.144,2433999.18,7.1845,90
2024-06-07,7.145,7.291,6.053,6.659,8416185.59,6.787,90
2024-06-08,6.659,6.683,6.338,6.384,3615115.34,6.516,90
2024-06-09,6.384,6.54,6.375,6.527,2659717.39,6.4565,90
2024-06-10,6.527,6.582,6.357,6.506,2942181.04,6.493,90
2024-06-11,6.506,6.527,6.217,6.378,5420734.07,6.407,90
2024-06-12,6.378,6.931,6.276,6.738,7033186.82,6.58075,90
2024-06-13,6.737,6.743,6.336,6.359,3581239.76,6.543750000000001,90
2024-06-14,6.36,6.488,6.0,6.163,5069082.95,6.25275,90
2024-06-15,6.162,6.258,6.109,6.223,1928449.76,6.188,90
2024-06-16,6.223,6.428,6.149,6.396,3423193.06,6.299,90
2024-06-17,6.397,6.418,5.987,6.069,4149733.54,6.21775,90
2024-06-18,6.069,6.089,5.46,5.771,10700166.19,5.847250000000001,90
2024-06-19,5.771,5.993,5.73,5.799,4114058.81,5.82325,90
2024-06-20,5.798,5.972,5.6,5.642,3352117.74,5.752999999999999,90
2024-06-21,5.643,5.737,5.549,5.611,3503011.61,5.635,90
2024-06-22,5.612,5.805,5.541,5.751,2939866.91,5.67725,90
2024-06-23,5.752,5.83,5.587,5.652,1702329.17,5.70525,90
2024-06-24,5.651,5.74,5.389,5.729,5455119.88,5.62725,90
2024-06-25,5.727,5.976,5.705,5.842,3888721.25,5.8125,90
2024-06-26,5.841,5.949,5.757,5.799,2681962.98,5.836499999999999,90
2024-06-27,5.799,6.38,5.706,6.287,6316840.04,6.043,90
2024-06-28,6.286,6.442,6.159,6.19,3765151.4,6.26925,90
2024-06-29,6.189,6.305,6.063,6.08,1478576.61,6.15925,90
2024-06-30,6.08,6.26,6.023,6.215,1831777.53,6.1445,90
2024-07-01,6.216,6.45,6.195,6.329,3174108.21,6.2975,90
2024-07-02,6.33,6.611,6.314,6.531,5472083.79,6.4464999999999995,90
2024-07-03,6.531,6.545,5.998,6.081,4570764.83,6.28875,90
2024-07-04,6.082,6.134,5.539,5.556,6705156.48,5.827750000000001,90
2024-07-05,5.556,5.918,4.915,5.687,20535452.4,5.519,90
2024-07-06,5.686,6.312,5.631,6.24,11542351.46,5.96725,90
2024-07-07,6.24,6.313,5.882,5.911,5276684.6,6.086500000000001,90
2024-07-08,5.909,6.293,5.695,5.944,6138945.03,5.960249999999999,90
2024-07-09,5.943,6.2,5.84,6.117,4353640.81,6.025,90
2024-07-10,6.117,6.26,6.05,6.097,4110238.98,6.131,90
2024-07-11,6.096,6.248,5.895,5.903,2350422.86,6.0355,90
2024-07-12,5.902,6.104,5.801,6.103,2711128.45,5.977500000000001,90
2024-07-13,6.102,6.306,6.074,6.232,2003082.88,6.1785,90
2024-07-14,6.233,6.357,6.159,6.32,2826709.6,6.26725,90
2024-07-15,6.32,6.543,6.295,6.484,5049392.8,6.410500000000001,90
2024-07-16,6.486,6.513,6.126,6.337,4558393.8,6.3655,90
2024-07-17,6.335,6.535,6.246,6.255,3182801.28,6.34275,90
2024-07-18,6.254,6.407,6.02,6.093,3370663.16,6.193499999999999,90
2024-07-19,6.092,6.48,5.978,6.338,2757057.53,6.2219999999999995,90
2024-07-20,6.337,6.397,6.224,6.333,1720991.41,6.322749999999999,90
2024-07-21,6.332,6.445,6.1,6.43,2339766.13,6.3267500000000005,90
2024-07-22,6.43,6.476,6.08,6.096,2585309.02,6.270499999999999,90
2024-07-23,6.095,6.165,5.799,5.917,2986487.42,5.994,90
2024-07-24,5.917,5.997,5.654,5.748,2358741.13,5.829,90
2024-07-25,5.747,5.779,5.54,5.755,2972357.49,5.7052499999999995,90
2024-07-26,5.755,5.891,5.726,5.867,2528303.82,5.80975,90
2024-07-27,5.867,5.942,5.793,5.803,1383384.82,5.85125,90
